level,name,uniqueName,attachTo,dataCode,contentFunction,contentSource
2,Lymphatic,systems_lympatic,systems,,tabsAndPanels,
2,Muscular,systems_muscular,systems,,tabsAndPanels,
2,Nervous,systems_nervous,systems,,tabsAndPanels,
2,Reproductive,systems_reproductive,systems,,tabsAndPanels,
2,Respiratory,systems_respiratory,systems,,tabsAndPanels,
2,Skeletal,systems_skeletal,systems,,tabsAndPanels,
2,Urinary,systems_urinary,systems,,tabsAndPanels,
2,Animations,media_animations,media,,tabsAndPanels,
2,Movies,media_movies,media,,tabsAndPanels,
2,3D Views,media_views3d,media,,tabsAndPanels,
2,Labelled Slides,media_slidesLabelled,media,,tabsAndPanels,
2,Dissections,media_dissections,media,,tabsAndPanels,
2,Clinical Images,media_clinicalImages,media,,tabsAndPanels,
2,Anatomical Structures,media_anatStructures,media,,tabsAndPanels,
3,Head and Neck,titles_atlas_head,titles_atlas,,tabsAndPanels,
3,Spine,titles_atlas_spine,titles_atlas,,tabsAndPanels,
3,Shoulder and Arm,titles_atlas_shoulder,titles_atlas,,tabsAndPanels,
3,Forearm and Hand,titles_atlas_hand,titles_atlas,,tabsAndPanels,
3,Thorax and Abdomen,titles_atlas_thorax,titles_atlas,,tabsAndPanels,
3,Pelvis,titles_atlas_pelvis,titles_atlas,,tabsAndPanels,
3,Hip,titles_atlas_hip,titles_atlas,,tabsAndPanels,
3,Knee,titles_atlas_knee,titles_atlas,,tabsAndPanels,
3,"Leg, Ankle and Foot",titles_atlas_foot,titles_atlas,,tabsAndPanels,
3,Cranium,regions_headandneck_cranium,regions_headandneck,xx_regions_headandneck_cranium,,
3,Ear,regions_headandneck_ear,regions_headandneck,xx_regions_headandneck_ear,,
3,Orbit,regions_headandneck_orbit,regions_headandneck,xx_regions_headandneck_orbit,,
3,Infratemporal fossa,regions_headandneck_infratemporalfossa,regions_headandneck,xx_regions_headandneck_infratemporalfossa,,
3,Face,regions_headandneck_face,regions_headandneck,xx_regions_headandneck_face,,
3,Nose,regions_headandneck_nose,regions_headandneck,xx_regions_headandneck_nose,,
3,Oral cavity,regions_headandneck_oralcavity,regions_headandneck,xx_regions_headandneck_oralcavity,,
3,Anterior neck,regions_headandneck_anteriorneck,regions_headandneck,xx_regions_headandneck_anteriorneck,,
3,Posterior neck,regions_headandneck_posteriorneck,regions_headandneck,xx_regions_headandneck_posteriorneck,,
3,Pharynx,regions_headandneck_pharynx,regions_headandneck,xx_regions_headandneck_pharynx,,
3,Larynx,regions_headandneck_larynx,regions_headandneck,xx_regions_headandneck_larynx,,
3,Cerebrum,regions_brain_cerebrum,regions_brain,xx_regions_brain_cerebrum,,
3,Cerebellum,regions_brain_cerebellum,regions_brain,xx_regions_brain_cerebellum,,
3,Brainstem,regions_brain_brainstem,regions_brain,xx_regions_brain_brainstem,,
3,Ventricles,regions_brain_ventricles,regions_brain,xx_regions_brain_ventricles,,
3,Spinal cord,regions_spine_spinalcord,regions_spine,xx_regions_spine_spinalcord,,
3,Cervical spine,regions_spine_cervicalspine,regions_spine,xx_regions_spine_cervicalspine,,
3,Thoracic spine,regions_spine_thoracicspine,regions_spine,xx_regions_spine_thoracicspine,,
3,Lumbar spine,regions_spine_lumbarspine,regions_spine,xx_regions_spine_lumbarspine,,
3,Sacral spine,regions_spine_sacralspine,regions_spine,xx_regions_spine_sacralspine,,
3,Coccyx,regions_spine_coccyx,regions_spine,xx_regions_spine_coccyx,,
3,Shoulder,regions_upperlimb_shoulder,regions_upperlimb,xx_regions_upperlimb_shoulder,,
3,Arm,regions_upperlimb_arm,regions_upperlimb,xx_regions_upperlimb_arm,,
3,Elbow,regions_upperlimb_elbow,regions_upperlimb,xx_regions_upperlimb_elbow,,
3,Forearm,regions_upperlimb_forearm,regions_upperlimb,xx_regions_upperlimb_forearm,,
3,Wrist,regions_upperlimb_wrist,regions_upperlimb,xx_regions_upperlimb_wrist,,
3,Hand,regions_upperlimb_hand,regions_upperlimb,xx_regions_upperlimb_hand,,
3,Thoracic wall,regions_thorax_thoracicwall,regions_thorax,xx_regions_thorax_thoracicwall,,
3,Diaphragm,regions_thorax_diaphragm,regions_thorax,xx_regions_thorax_diaphragm,,
3,Lungs,regions_thorax_lungs,regions_thorax,xx_regions_thorax_lungs,,
3,Heart,regions_thorax_heart,regions_thorax,,,
3,Abdominal wall,regions_abdomen_abdominalwall,regions_abdomen,xx_regions_abdomen_abdominalwall,,
3,Stomach,regions_abdomen_stomach,regions_abdomen,xx_regions_abdomen_stomach,,
3,Small intestine,regions_abdomen_smallintestine,regions_abdomen,xx_regions_abdomen_smallintestine,,
3,Large intestine,regions_abdomen_largeintestine,regions_abdomen,xx_regions_abdomen_largeintestine,,
3,Liver,regions_abdomen_liver,regions_abdomen,xx_regions_abdomen_liver,,
3,Gallbladder,regions_abdomen_gallbladder,regions_abdomen,xx_regions_abdomen_gallbladder,,
3,Pancreas,regions_abdomen_pancreas,regions_abdomen,xx_regions_abdomen_pancreas,,
3,Kidneys,regions_abdomen_kidneys,regions_abdomen,xx_regions_abdomen_kidneys,,
3,Spleen,regions_abdomen_spleen,regions_abdomen,xx_regions_abdomen_spleen,,
3,Pelvic floor,regions_malepelvis_pelvicfloor,regions_malepelvis,xx_regions_malepelvis_pelvicfloor,,
3,Reproductive organs,regions_malepelvis_reproductiveorgans,regions_malepelvis,xx_regions_malepelvis_reproductiveorgans,,
3,Bladder,regions_malepelvis_bladder,regions_malepelvis,xx_regions_malepelvis_bladder,,
3,Anal triangle,regions_malepelvis_analtriangle,regions_malepelvis,xx_regions_malepelvis_analtriangle,,
3,Urogenital triangle,regions_malepelvis_urogenitaltriangle,regions_malepelvis,xx_regions_malepelvis_urogenitaltriangle,,
3,Pelvic floor,regions_femalepelvis_pelvicfloor,regions_femalepelvis,xx_regions_femalepelvis_pelvicfloor,,
3,Reproductive organs,regions_femalepelvis_reproductiveorgans,regions_femalepelvis,xx_regions_femalepelvis_reproductiveorgans,,
3,Bladder,regions_femalepelvis_bladder,regions_femalepelvis,xx_regions_femalepelvis_bladder,,
3,Anal triangle,regions_femalepelvis_analtriangle,regions_femalepelvis,xx_regions_femalepelvis_analtriangle,,
3,Urogenital triangle,regions_femalepelvis_urogenitaltriangle,regions_femalepelvis,xx_regions_femalepelvis_urogenitaltriangle,,
3,Hip and thigh,regions_lowerlimb_hipandthigh,regions_lowerlimb,xx_regions_lowerlimb_hipandthigh,,
3,Knee,regions_lowerlimb_knee,regions_lowerlimb,xx_regions_lowerlimb_knee,,
3,Leg,regions_lowerlimb_leg,regions_lowerlimb,xx_regions_lowerlimb_leg,,
3,Ankle ,regions_lowerlimb_ankle,regions_lowerlimb,xx_regions_lowerlimb_ankle,,
3,Foot,regions_lowerlimb_foot,regions_lowerlimb,xx_regions_lowerlimb_foot,,
3,Heart,systems_cardio_heart,systems_cardio,xx_systems_cardio_heart,toCome,
3,Arteries,systems_cardio_arteries,systems_cardio,xx_systems_cardio_arteries,toCome,
3,Veins,systems_cardio_veins,systems_cardio,xx_systems_cardio_veins,toCome,
3,Blood,systems_cardio_blood,systems_cardio,xx_systems_cardio_blood,toCome,
3,Oral cavity,systems_digestive_oral,systems_digestive,xx_systems_digestive_oral,toCome,
3,Pharynx and esophagus,systems_digestive_pharynx,systems_digestive,xx_systems_digestive_pharynx,toCome,
3,Stomach,systems_digestive_stomach,systems_digestive,xx_systems_digestive_stomach,toCome,
3,Pancreas,systems_digestive_pancreas,systems_digestive,xx_systems_digestive_pancreas,toCome,
3,Liver and gallbladder,systems_digestive_liver,systems_digestive,xx_systems_digestive_liver,toCome,
3,Small intestine,systems_digestive_small,systems_digestive,xx_systems_digestive_small,toCome,
3,Large intestine,systems_digestive_large,systems_digestive,xx_systems_digestive_large,toCome,
3,Chemical digestion and metabolism,systems_digestive_chemical,systems_digestive,xx_systems_digestive_chemical,toCome,
3,Hormones,systems_endocrine_hormones,systems_endocrine,xx_systems_endocrine_hormones,toCome,
3,Hypothalamus and pituitary gland,systems_endocrine_hypothalamus,systems_endocrine,xx_systems_endocrine_hypothalamus,toCome,
3,Thyroid and parathyroid glands,systems_endocrine_thyroid,systems_endocrine,xx_systems_endocrine_thyroid,toCome,
3,Suprarenal glands,systems_endocrine_suprarenal,systems_endocrine,xx_systems_endocrine_suprarenal,toCome,
3,Pancreas,systems_endocrine_pancreas,systems_endocrine,xx_systems_endocrine_pancreas,toCome,
3,Gonads,systems_endocrine_gonads,systems_endocrine,xx_systems_endocrine_gonads,toCome,
3,Gross anatomy,systems_integumentary_gross,systems_integumentary,xx_systems_integumentary_gross,toCome,
3,Microanatomy,systems_integumentary_micro,systems_integumentary,xx_systems_integumentary_micro,toCome,
3,Healing,systems_integumentary_healing,systems_integumentary,xx_systems_integumentary_healing,toCome,
3,Vessels and nodes,systems_lympatic_vessels,systems_lympatic,xx_systems_lympatic_vessels,toCome,
3,Organs and tissues,systems_lympatic_organs,systems_lympatic,xx_systems_lympatic_organs,toCome,
3,Immunity,systems_lympatic_immunity,systems_lympatic,xx_systems_lympatic_immunity,toCome,
3,Microanatomy,systems_muscular_micro,systems_muscular,xx_systems_muscular_micro,toCome,
3,Physiology,systems_muscular_physiology,systems_muscular,xx_systems_muscular_physiology,toCome,
3,Types and muscle classification,systems_muscular_types,systems_muscular,xx_systems_muscular_types,toCome,
3,Muscles by region,systems_muscular_region,systems_muscular,,toCome,
3,Nerves and nervous tissue,systems_nervous_nerves,systems_nervous,xx_systems_nervous_nerves,toCome,
3,Action potentials and synapses,systems_nervous_action,systems_nervous,xx_systems_nervous_action,toCome,
3,Brain,systems_nervous_brain,systems_nervous,xx_systems_nervous_brain,toCome,
3,Crainial nerves,systems_nervous_cranial,systems_nervous,xx_systems_nervous_cranial,toCome,
3,Spinal cord,systems_nervous_spinal,systems_nervous,xx_systems_nervous_spinal,toCome,
3,Autonomic nervous system,systems_nervous_autonomic,systems_nervous,xx_systems_nervous_autonomic,toCome,
3,Male reproductive system,systems_reproductive_male,systems_reproductive,xx_systems_reproductive_male,toCome,
3,Female reproductive system,systems_reproductive_female,systems_reproductive,xx_systems_reproductive_female,toCome,
3,Development and inheritance,systems_reproductive_development,systems_reproductive,xx_systems_reproductive_development,toCome,
3,Upper respiratory tract,systems_respiratory_upper,systems_respiratory,xx_systems_respiratory_upper,toCome,
3,Lower respiratory tract,systems_respiratory_lower,systems_respiratory,xx_systems_respiratory_lower,toCome,
3,Lungs and pleura,systems_respiratory_lungs,systems_respiratory,xx_systems_respiratory_lungs,toCome,
3,Ventilation,systems_respiratory_ventilation,systems_respiratory,xx_systems_respiratory_ventilation,toCome,
3,Microanatomy,systems_skeletal_micro,systems_skeletal,xx_systems_skeletal_micro,toCome,
3,Gross anatomy,systems_skeletal_gross,systems_skeletal,xx_systems_skeletal_gross,toCome,
3,Skull,systems_skeletal_skull,systems_skeletal,xx_systems_skeletal_skull,toCome,
3,Vertebral column,systems_skeletal_vertebral,systems_skeletal,xx_systems_skeletal_vertebral,toCome,
3,Upper limb,systems_skeletal_upperlimb,systems_skeletal,xx_systems_skeletal_upperlimb,toCome,
3,Lower limb,systems_skeletal_lowerlimb,systems_skeletal,xx_systems_skeletal_lowerlimb,toCome,
3,Ligaments,systems_skeletal_ligaments,systems_skeletal,xx_systems_skeletal_ligaments,toCome,
3,Cartilage,systems_skeletal_cartilage,systems_skeletal,xx_systems_skeletal_cartilage,toCome,
3,Joints,systems_skeletal_joints,systems_skeletal,xx_systems_skeletal_joints,toCome,
3,Kidneys,systems_urinary_kidneys,systems_urinary,xx_systems_urinary_kidneys,toCome,
3,Bladder,systems_urinary_bladder,systems_urinary,xx_systems_urinary_bladder,toCome,
3,Urine production,systems_urinary_urine,systems_urinary,xx_systems_urinary_urine,toCome,
4,Head ,systems_muscular_region_head,systems_muscular_region,xx_systems_muscular_region_head,toCome,
4,Neck,systems_muscular_region_neck,systems_muscular_region,xx_systems_muscular_region_neck,toCome,
4,Back,systems_muscular_region_back,systems_muscular_region,xx_systems_muscular_region_back,toCome,
4,Trunk,systems_muscular_region_trunk,systems_muscular_region,xx_systems_muscular_region_trunk,toCome,
4,Upper limb,systems_muscular_region_upperlimb,systems_muscular_region,xx_systems_muscular_region_upperlimb,toCome,
4,Lower limb,systems_muscular_region_lowerlimb,systems_muscular_region,xx_systems_muscular_region_lowerlimb,toCome,
4,Chambers,regions_thorax_heart_chambers,regions_thorax_heart,xx_regions_thorax_heart_chambers,,
4,Great vessels,regions_thorax_heart_greatvessels,regions_thorax_heart,xx_regions_thorax_heart_greatvessels,,
4,Arterial supply,regions_thorax_heart_arterialsupply,regions_thorax_heart,xx_regions_thorax_heart_arterialsupply,,
4,Innervation,regions_thorax_heart_innervation,regions_thorax_heart,xx_regions_thorax_heart_innervation,,
4,Conduction system,regions_thorax_heart_conductionsystem,regions_thorax_heart,xx_regions_thorax_heart_conductionsystem,,
4,Cardiac cycle,regions_thorax_heart_cardiaccycle,regions_thorax_heart,xx_regions_thorax_heart_cardiaccycle,,
4,MRI,regions_thorax_heart_mri,regions_thorax_heart,xx_regions_thorax_heart_mri,,
